state,cases_2017,deaths_2017,cases_2016,deaths_2016,cases_2015,deaths_2015,cases_2014,deaths_2014,cases_2013,deaths_2013,cases_2012,deaths_2012,cases_2011,deaths_2011,cases_2010,deaths_2010
A& N Island,17,0,92,0,153,0,139,0,67,0,24,0,6,0,25,0
Andhra Pradesh,4776,0,3417,2,3159,2,1262,5,910,1,2299,2,1209,6,776,3
Arunachal Pradesh,15,0,13,0,1933,1,27,0,0,0,346,0,0,0,0,0
Assam,5016,2,6157,4,1076,1,85,0,4526,2,1058,5,0,0,237,2
Bihar,1875,0,1912,0,1771,0,297,0,1246,5,872,3,21,0,510,0
Chandigarh,1094,0,1246,0,966,1,13,0,107,0,351,2,73,0,221,0
Chattisgarh,433,0,356,0,384,1,440,9,83,2,45,0,313,11,4,0
D&N Haveli,1996,0,4161,2,1154,0,641,1,190,0,156,1,68,0,46,0
Daman & Diu,59,0,89,0,165,0,46,0,61,0,96,0,0,0,0,0
Delhi,9232,9,4431,10,15867,60,995,3,5574,6,2093,4,1131,8,6259,8
Goa,257,0,150,0,293,0,168,1,198,2,39,0,26,0,242,0
Gujarat,4564,4,8028,14,5590,9,2320,3,6272,15,3067,6,1693,9,2568,1
Haryana,4411,1,2493,0,9921,13,214,2,1784,5,768,2,267,3,866,20
Himachal Pradesh,453,0,322,0,19,1,2,0,89,2,73,0,0,0,3,0
Jammu & Kashmir,485,0,79,1,153,0,1,0,1837,3,17,1,3,0,0,0
Jharkhand,703,5,414,1,102,0,36,0,161,0,42,0,36,0,27,0
Karnataka,17018,5,6083,8,5077,9,3358,2,6408,12,3924,21,405,5,2285,7
Kerala,19912,37,7439,13,4075,25,2575,11,7938,29,4172,15,1304,10,2597,17
Madhya Pradesh,2585,6,3150,12,2108,8,2131,13,1255,9,239,6,50,0,175,1
Maharashtra,7442,41,6792,33,4936,23,8573,54,5610,48,2931,59,1138,25,1489,5
Manipur,187,1,51,1,52,0,0,0,9,0,6,0,220,0,7,0
Meghalaya,42,0,172,0,13,0,0,0,43,0,27,2,0,0,1,0
Mizoram,107,0,580,0,43,0,19,0,7,0,6,0,0,0,0,0
Nagaland,357,0,142,0,21,1,0,0,0,0,0,0,3,0,0,0
Odisha,4155,6,8380,11,2450,2,6433,9,7132,6,2255,6,1816,33,29,5
Puduchery,4746,7,490,2,771,0,1322,1,2215,0,3506,5,463,3,96,0
Punjab,15318,0,10439,15,14128,18,472,8,4117,25,770,9,3921,33,4012,15
Rajasthan,8387,16,5292,16,4043,7,1243,7,4413,10,1295,10,1072,4,1823,9
Sikkim,659,0,82,0,21,0,5,0,38,0,2,0,2,0,0,0
Tamil Nadu,23035,63,2531,5,4535,12,2804,3,6122,0,12826,66,2501,9,2051,8
Telangana,3061,0,4037,4,1831,2,704,1,0,0,0,0,0,0,0,0
Tripura,123,0,102,0,40,0,6,0,8,0,9,0,0,0,0,0
Uttar Pradesh,3032,28,15033,42,2892,9,200,0,1414,5,342,4,155,5,960,8
Uttrakhand,971,0,2146,4,1655,1,106,0,54,0,110,2,454,5,178,0
West Bengal,10697,19,22865,45,8516,14,3934,4,5920,6,6456,11,510,0,805,1
