district, area, population
Ajmer,8481,2584913
Alwar,8380,3671999
Banswara,5037,1798194
Baran,6955,1223921
Barmer,28387,2604453
Bharatpur,5066,2549121
Bhilwara,10455,2410459
Bikaner,28466,2367745
Bundi,5550,1113725
Chittorgarh,10856,1544392
Churu,16830,2041172
Dausa,3432,1637226
Dholpur,3033,1207293
Dungarpur,3770,1388906
Hanumangarh,12645,1779650
Jaipur,14068,6663971
Jaisalmer,38401,672008
Jalor,10640,1830151
Jhalawar,6219,1411327
Jhunjhunu,5928,2139658
Jodhpur,22850,3685681
Karauli,5530,1458459
Kota,5446,1950491
Nagaur,17718,3309234
Pali,12387,2038533
Pratapgarh[2],4117,868231
Rajsamand,4768,1158283
Sawai Madhopur,10527,1338114
Sikar,7732,2677737
Sirohi,5136,1037185
Sri Ganganagar,11154,1969520
Tonk,7194,1421711
Udaipur,13883,3067549
